根据您提供的资料，这是一份2019年4月高等教育自学考试《大学语文》（课程代码04729）的真题试卷及答案评分参考。

以下是按照试卷结构整理的全部文字内容：

### **2019年4月高等教育自学考试全国统一命题考试：大学语文**

**注意事项：**
1. 本试卷分为两部分，第一部分为选择题，第二部分为非选择题。
2. 应考者必须按试题顺序在答题卡（纸）指定位置上作答，答在试卷上无效。
3. 涂写部分、画图部分必须使用2B铅笔，书写部分必须使用黑色字迹签字笔。

---

### **第一部分 选择题**

**一、单项选择题：本大题共20小题，每小题1分，共20分。**
(在每小题列出的备选项中只有一项是最符合题目要求的，请将其选出)

1. 下列语句中，作为所在文章中心论点的是：
   A. 王无罪岁，斯天下之民至焉
   B. 王者不却众庶，故能明其德
   C. 仁义不施，攻守之势异也
   D. 仁人之所忧，任士之所劳

2. 下列文集中，作者为梁启超的是：
   A. 《尝试集》
   B. 《灯下集》
   C. 《壮悔堂文集》
   D. 《饮冰室合集》

3. 下列出现于《咬文嚼字》的词语中，凸显了这篇文章主题的是：
   A. 锱铢必较 (源文显示为"销铼较")
   B. 变化莫测 (源文显示为"R变化营")
   C. 不即不离
   D. 点铁成金

4. 下列描述中，表现了《秦晋殽之战》先轸这一人物性格特点的是：
   A. 远见卓识，老成持重
   B. 多谋善断，忠直刚烈
   C. 忠心爱国，机警灵活
   D. 观察敏锐，聪慧过人

5. 《冯谖客孟尝君》所载冯谖事迹中，为孟尝君“市义”的是：
   A. 请求孟尝君助养老母
   B. 收债于薛而尽烧债券 (源文显示为"尽烧情卷")
   C. 游说梁王礼聘孟尝君
   D. 建议孟尝君请修宗庙

6. 下列《垓下之围》的语句中，属于细节描写的是：
   A. 项王军壁核下 (源文为"坡下")
   B. 项王则夜起
   C. 项王乃悲歌慷慨
   D. 项王泣数行下

7. 下列唐代作家中，名列“唐宋八大家”之首的是：
   A. 李白
   B. 杜甫
   C. 韩愈 (源文显示为"C.节"等乱码，结合答案应为韩愈)
   D. 柳宗元

8. 《马伶传》一文的主要叙述方式是：
   A. 分叙
   B. 平叙
   C. 补叙
   D. 倒叙

9. 《香市》一文，用来加以对比的主要内容是：
   A. 农民与商人
   B. 南洋武术班与打拳卖膏药的
   C. 今与昔
   D. 衙门与戏台

10. 在《纪念傅雷》一文中，作者深切认同傅雷的是：
    A. 翻译方法
    B. 教子成功
    C. 刚直的品德
    D. 水墨画观点

11. 下列文章中，属于游记的一篇是：
    A. 《都江堰》
    B. 《香市》
    C. 《秋夜》
    D. 《蚂蚁大战》

12. 下列《我与地坛》的句子，作者用以比作秋的是：
    A. 啄木鸟随意而空旷的啄木声
    B. 铜钟与这园子一般年纪，浑身挂满绿锈
    C. 一径时而苍白时而黑润的小路
    D. 干净的土地上的一只孤零的烟斗

13. 《蒹葭》中点明季节的句子是：
    A. 蒹葭苍苍，白露为霜
    B. 所谓伊人，在水一方
    C. 溯洄从之，道阻且长
    D. 溯游从之，宛在水中央,

14. 《湘夫人》中“目眇眇兮愁予”“思公子兮未敢言”的抒情方法是：
    A. 直抒胸臆
    B. 借景物抒情
    C. 借比喻抒情
    D. 借象征抒情

15. 《长恨歌》因情造景的诗句是：
    A. 金屋妆成娇侍夜，玉楼宴罢醉和春
    B. 九重城阙烟尘生，千乘万骑西南行
    C. 夕殿萤飞思悄然，孤灯挑尽未成眠
    D. 楼阁玲珑五云起，其中绰约多仙子

16. 下列《八声甘州》(对潇潇暮雨洒江天)的词句中，运用拟人修辞手法的是：
    A. 渐霜风凄紧，关河冷落，残照当楼
    B. 是处红衰翠减，苒苒物华休
    C. 惟有长江水，无语东流
    D. 争知我、倚栏杆处，正恁凝愁

17. 下列《雨巷》中的意象，可以被解读为象征了“美”与“理想”的是：
    A. 雨
    B. 梦
    C. 丁香
    D. 篱墙

18. 《祖国啊，我亲爱的祖国》情感逻辑的第三个层次是：
    A. 为历史的祖国美好希望的失落而遗憾 (源文为"遗博")
    B. 为祖国的新生和美好未来而振臂欢呼
    C. 为历史的祖国艰难地负重缓行而悲伤
    D. 决心为祖国的富饶荣光和自由而献身

19. 《枕中记》的构思特点是：
    A. 虚实结合，两相比照
    B. 视角独到，以小见大
    C. 藏头露尾，云掩神龙
    D. 制造悬念，结局意外,

20. 《苦恼》中姚纳最想倾诉的苦恼是：
    A. 寒夜中难赚到钱
    B. 载客常挨打挨骂
    C. 儿子不幸去世
    D. 小母马体弱难行

**二、多项选择题：本大题共5小题，每小题2分，共10分。**

21. 下列《寡人之于国也》的语句中，用比喻进行论证的有：
    A. 以五十步笑百步
    B. 数罟不入洿池 (源文为"海池")
    C. 斧斤以时入山林
    D. 百亩之田，勿夺其时
    E. 非我也，兵也

22. 下列文章中，怀念逝去亲朋的有：
    A. 《秋夜》
    B. 《纪念傅雷》
    C. 《哭小弟》
    D. 《都江堰》
    E. 《我与地坛》

23. 下列诗词语句中，属于借景抒情的有：
    A. 拔剑四顾心茫然
    B. 秋雨梧桐叶落时
    C. 小楼昨夜又东风
    D. 夜来幽梦忽还乡
    E. 怎一个愁字了得

24. 《再别康桥》诗歌的音乐美主要体现在：
    A. 节奏的流畅
    B. 音节的顿挫
    C. 结构的完善
    D. 韵律的和谐
    E. 章节的整齐

25. 下列小说语句中，采用直接心理描写的有：
    A. 宝玉见了这般，又自己后悔：“方才不该和他较证，这会子他这样光景，我又替不了他”
    B. 看了看沙老师的脸，他敢怒而不敢言的说了声“是啦！”
